dc:title,dc:description,dc:creator,dc:type,dc:rights,dc:format,dcterms:created
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
"Small boy on a tricycle, dog in the background.",Shows a small boy with blond hair and red overalls playing in a yard.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Male actors, Melbourne.","Man, head and shoulders, wearing polo-necked jumper, curly hair.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1959
"Horses, probably out of Chicago.",Includes a foal and a man riding a horse beside a fence.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1959
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Family portraits.,"Includes a woman wearing a navy blue scarf, small girl with blue dress, family group walking through gardens.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Wedding.,"Portraits of the bride and groom, bridesmaids and family.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
"Doug Smith and Liz, John Knox Church.",Portraits of Doug and Liz Smith and two boys.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Sue Veers.,"Half-length portraits of Sue Veers, wearing a check blouse.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1985-02
"Kabo Brassier Company of Chicago, Robert Wiley (client).",Shows a women modelling a brassiere and half-slip petticoat.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1950/1959
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
